username,content,reply_time
bslijun22,雷神一开场就被灭霸打翻在地，当然，雷神的暴风战斧是和无限手套同级别的大杀器，这个另说绿巨人倒是一开始打了灭霸几拳，但灭霸一出手还击，绿巨人只一拳就被打晕了，后面摇摇晃晃的倒地其他队长，冬日战士，黑豹，猎鹰，毁灭者，都是一拳被打倒只剩下钢铁侠，凭借本身的装备，硬是和灭霸抗了好几回合，真是牛叉基本上托尼就是复仇者联盟里的最强者，雷神也很猛，但如果失去锤子和暴风战斧，基本上也就失去战斗力了,2018-05-14 00:40
nnvf96,雷神开场前没有展现出来吧，雷神怎么可能没有钢铁侠强,2018-05-14 00:47
bslijun22,钢铁侠是唯一一个能让灭霸负伤的人，最后和灭霸硬抗的时候，灭霸的脸被开了个口子，灭霸还问钢铁侠;你就这点本事？当然，卡魔拉杀死假的灭霸这个不算,2018-05-14 01:01
寂寞式·泽,钢铁侠在这部里确实猛的不行了…没记错的话全程除了索尔最后那一斧子砍到他喷血以外 只有钢铁侠和他正面刚把他打出了一点血 虽然没有多大伤害但是确实出血了,2018-05-14 01:06
sld070612,目前雷神最强 电影里,2018-05-14 01:11
bslijun22,绿巨人是本片最大的失望被灭霸打了一次后变得胆小如鼠，连变身都不敢变了一个大杀器变成了打酱油的那个暴怒神力，所向披靡，一往无前的绿巨人哪去了？,2018-05-14 01:16
姚大爷丶丶,雷神也很猛，但如果失去锤子和暴风战斧，基本上也就失去战斗力了 钢铁侠也很猛但是没有战甲他就没有战斗力不用什么基本上,2018-05-14 01:17
r9a70,因为打钢铁侠时还不是完全体，当时缺两颗宝石。最后打美队他们时，是集齐宝石的完全体,2018-05-14 01:22
丶节操一路走好,钢铁侠：灭霸说我是被知识诅咒的人，我就要让他看看知识的力量！,2018-05-14 01:29
鱿鱼王降临,,2018-05-14 01:39
liaohaibo9,美队一出场就已经帅得不行了！,2018-05-14 01:39
liaohaibo9,美队一出场就已经帅得不行了！,2018-05-14 01:40
liaohaibo9,美队一出错就已经帅得不行了,2018-05-14 01:40
liaohaibo9,美队一出错就已经帅得不行了,2018-05-14 02:36
倾听小镇的呼吸,女巫单手顶灭霸,2018-05-14 07:36
最爱桑神,灭霸打妇联英雄好像就一颗力量宝石是发光的，他不是几颗宝石一起用，需要什么用什么。最后打算一拳打死托尼好像四颗都要亮，但被博士阻止。看的有点模糊了，我觉得灭霸没想过真杀雷神，美队，只为抢宝石。但他真的打算杀钢铁侠。话说用刀捅的都得死？洛基也是捅刀子。此剧要看多次才能搞清楚。,2018-05-14 07:58
叶萧半青,钢铁侠有纳米铠甲，理论上装甲是打不坏的。,2018-05-14 08:36
wagjgnb,小学生吧，还说谁最强。。。。,2018-05-14 08:46
zzzz0010010001,你说雷神失去锤子和战斧，基本就失去战斗力了。那托尼·斯塔克失去战甲，能挨得上灭霸一拳？？？？？,2018-05-14 09:17
逋阁听雨,我有两个问题。第一，索尔最后直接砍脑袋是不是就赢了。第二，之所以不砍，或者是等了那么久才来单挑灭霸，是不是因为索尔不知道灭霸打指响这个事情的重要性。要是知道的话，应该先砍手或者砍脑袋，这就不会出现最后的尴尬了。,2018-05-14 09:25
飘渺血大本营,钢侠，博士，旺达，雷神 这4个组队就不用出4了,2018-05-14 09:30
1094538618,灭霸要真想打直接把地球炸了都可以,2018-05-14 09:38
bslijun22,其实我的意思是雷神有了暴风战斧，就意味着和灭霸的战力处于同一级别，后来用暴风战斧重创灭霸也证明了这一点但钢铁侠，奇异博士，绿巨人，队长，黑豹，毁灭者，女巫，星爵，猎鹰，冬兵这些超级英雄就算拥有最新的装备，可战斗力和灭霸差的还是不止一个级别就是在这种战斗力差了不止一个级别的情况下，只有钢铁侠能和灭霸硬抗了几个回合，被灭霸揍了好拳才倒下所以我才说托尼才是复仇者联盟里战斗力最强的人,2018-05-14 09:39
bslijun22,少了个几字,2018-05-14 09:56
361876489,博士不是也跟灭霸打的有来有回,2018-05-14 10:12
哥又回来了1,如果雷神3出来之前我觉得雷神必须要武器，但是雷神3里面已经让雷神知道了自己不一定非要信赖武器才能变强，所以你这剧情完全是编剧把自己喷的口水又舔起来,2018-05-14 10:38
謿蓅偙偙,一个是天神，一个是凡人，要说凡人里钢铁侠无疑是最**的存在了。看看他身边的那个穿布衣的，平时也是老**了，在他面前就像个学徒一样。。。,2018-05-14 11:02
八神_吹雪,你仔细去看，打了几拳托尼全都用手防御了,2018-05-14 11:09
paoxr,明显索尔第一红女巫第二。女巫可是在跟有5颗宝石的灭霸对波的同时，打爆了第6颗宝石。如果不是打爆宝石费力太多还被爆炸波及了，肯定是可以跟灭霸过几招的。,2018-05-14 11:20
